study_hours_per_day,attendance,assignments_completed,midterm_score,previous_sgpa,daily_screen_time,social_media_usage,class_participation,sleep_hours,stress_level,physical_activity,internet_quality,study_environment,fatigue_score,gender,sgpa
6.47,81,7,65.21,9.34,3.33,1.51,4,6.56,Low,2.34,4,3,1.65,male,6.15
2.53,67.8%,1,45.3,9.28,3.47,0.6,1,6.18,4,6.18,1,2,4.08,female,4
1.59,89,4,52.12,9.08,3.16,3.1,10,5.57,3,3.72,1,1,5.17,Male,4
9.54, 61.7 %,,49.28,5.31,7.85,1.17,10,,,3.06,1,4,1.61,male,
9.69,82,5,68.9,6.24,7.53,,9,8.83,Low,1.86,4,5,6.22,Male,5.51
8.28,61.8%,2,71.76,9.38,5.02,0.97,6,8.51,4,,3,1,6.03,male,4.78
3.74,85.7%,1,96.94,9.49,7.87,1.91,1,4.15,1,1.66,1,4,9.93,M,4
12.7171242346628, 93.7 %,10,44.39,7.29,,3.51,3,2.37937968680022,5,5.8,5,1,6.59,M,
7.16,56,5,75.99,7.2,,1.41,1,5.65,,6.9,3,4,4.58,male,
4.96,93,2,71.59,5.88,4.12,,9,6.55,3,3.74,2,2,8.11,Female,4.81
2.1,80,1,70.97,,7.71,1.8,4,7.03,HIGH,0.56,4,4,4.01,M,
5.46,56.4%,0,92.39,6.07,5.26,1.99,2,5,HIGH,5.26,5,5,5.8,male,4
1.31,71.4%,7,,5.95,2.49,1.48,4,7.91,medium,6.14,2,,1.5,M,
9.18,58,0,42.45,8.3,5.83,1.64,2,6.38,4,6.52,4,3,3.9,,4.25
3.33,85.0%,4,80.34,,2.44,0.83,6,8.96,high,4.4,4,2,5.75,male,
6.96,87.9%,10,60.71,9.69,3.38,1.83,6,4.13,2,3.55,5,2,7.32,Female,5.68
3.81,55,5,41.06,5.05,2.59,4.37,7,4.95,5,4.34,4,3,1.89,Male,4
5.68,,10,55.08,5.03,2.71,,9,7.45,1,0.09,4,2,8.17,,4.14
5.92,91,,58.56,7.52,1.03,4.44,9,7.48,medium,4.59,4,2,9.1,female,
2.66,97,6,77.01,7.44,,0.97,4,6.91,2,4.97,3,,3.53,Female,
9.73, 75.7 %,1,50.36,5.82,3.07,2.55,9,,HIGH,5.05,1,3,,M,4.25
7.98,,6,64.78,7.47,1.6,1.53,8,6.08,Low,3.94,5,5,2.62,Female,4.79
9.46,76.8%,1,68.95,7.06,1.61,3.75,1,6.09,4,4.9,3,2,5.71,Male,5.09
9.05, 69.7 %,4,67.55,9.45,,4.87,7,8.55,2,4.47,5,2,8.18,F,
6.38,92,6,98.44,5.05,7.95,4.17,7,6.69,1,0.81,3,2,,female,4.1
9.3, 74.6 %,10,42.73,9.88,,0.66,10,5.77,low,6.29,4,5,1.24,Male,
1.8,73.6%,10,97.06,8.12,1.7,1.92,4,7.59,low,,4,2,5.86,F,4.97
2.76,75,2,74.92,,4.07,0.63,7,7.1,HIGH,5.09,3,3,8.6,F,
1.41,92.3%,10,87.74,5.23,4.94,0.68,10,5.53,Low,2.4,4,3,,M,4
3.93, 91.6 %,3,65.82,7.69,3.06,0.86,10,5.49,medium,6.43,1,3,1.27,Female,4
4.5,70,0,67.23,,3.12,1.74,5,5.98,Low,3.52,5,3,8.28,M,
3.44, 66.7 %,2,92.76,6.51,3.97,1.87,5,4.36,low,4.75,4,4,,M,4.06
8.46,,8,93.76,6.23,3.2,2.3,5,,4,6.67,2,3,4.28,male,5.88
4.21,79,9,54.32,8.25,,2.32,6,4.92,1,6.41,3,5,1.78,M,
3.53, 61.9 %,4,51.95,7.77,1.29,3.97,7,4.97,3,4.51,3,4,1.87,female,4
5.88,89.7%,7,69.77,5.39,2.64,1.14,5,7.24,4,1.16,4,2,6.53,F,4.47
2.27, 74.3 %,1,94.02,7.63,,1.21,9,7.62,3,6.65,3,3,5.97,,
8.22,,2,59.34,8.96,6.84,3.32,9,7.68,medium,6.89,2,2,3.63,M,4.77
1.67,55.3%,6,79.12,5.41,1.78,3.07,7,5.88,high,0.72,3,3,5.07,F,4.15
9.88, 61.9 %,9,82.49,9.45,7.82,1.19,10,8.37,4,3.15,2,3,4.49,male,5.68
7.95,97.5%,3,86.72,7.89,5.85,4.34,3,6.72,HIGH,3.84,3,4,7.26,male,4.99
2.79,65,8,73.84,9.75,2.91,1.98,4,6.19,2,0.64,3,3,8.76,Male,5.43
1.05,58.4%,6,64.15,5.74,4.19,2.15,4,8.05,2,1.33,2,3,7.89,F,4
8.34,73.0%,10,,9.97,3.08,2.39,7,5.22,Low,3.76,5,1,1.04,Male,
7.36,65.4%,0,76.68,,2.05,1.95,2,8.3,4,6.74,1,5,1.9,M,
7.56,52,3,83.71,7.84,3.04,3.01,5,6.69,HIGH,,2,5,4.86,,5.29
7.94,66,9,60.7,7.58,5.06,2.25,4,8.5,3,6.39,1,,8.67,female,5.69
1.67,77,10,80.2,5.12,6.78,1.67,10,5.01,HIGH,6.29,3,2,3.13,female,4
4.23, 77.6 %,5,55.47,9.7,3.54,,9,8.68,2,6,5,4,8.91,F,4
2.04,68,5,54.71,8.22,3.44,1.89,1,7.44,4,,2,2,1.99,,4
8.77,72.4%,9,82.88,5.46,4.28,3.64,10,7.09,1,3.44,5,1,1.65,male,5.87
6.61,,5,71.28,5.1,5.51,2.06,,6.11,4,2.83,2,2,9.22,male,4
,69,4,81,5.25,6.26,2.46,6,8.78,Low,6.63,4,3,,Female,
1.57,62.9%,2,56.17,8.05,3.29,1.56,4,6.22,Low,3.65,2,2,,female,4
3.8, 62.2 %,1,75.92,8.07,5.1,3.89,3,6.49,5,0.56,1,2,3.93,F,4
3.93,73,2,,7.5,3.73,3.82,6,7.91,high,1.92,4,3,2.33,M,
7.57, 88.0 %,8,75.82,6.53,6.01,0.6,3,5.42,3,,3,1,6.69,,4.85
6.74, 60.3 %,2,,7.66,2.15,0.77,7,5.46,Low,6.67,2,5,9.67,male,
8.98, 85.5 %,2,82.93,7.58,2.8,4.65,1,7.88,Low,3.98,1,1,6.92,M,5.84
5.25,51.1%,0,88.36,5.1,3.98,4.5,9,4.64,5,4.87,3,1,4.18,Male,4
2.08, 70.9 %,1,55.59,6.41,7.23,2.78,10,8.11,2,0.62,1,4,7.41,Male,4
7.42, 88.8 %,10,58.04,,5.01,2.72,2,7.13,2,6.14,3,4,2.29,,
7.85,,2,79.67,9.5,7.76,4.16,,6.7,HIGH,3.77,2,3,6.22,M,4.73
6.05, 78.2 %,1,81.74,8.63,1.72,1.12,6,5.15,3,6.45,5,4,5.23,M,5.37
7.94, 60.2 %,7,82.25,9.98,4.22,3.44,,7.93,,3.12,3,5,4.24,female,
5.44,87.1%,5,80.96,6.51,3.93,2.64,8,8.02,high,4.78,5,3,7.66,female,4
5.7,,6,63.57,9.39,5.2,3.84,8,6.41,medium,3.3,3,4,2.07,female,4.43
4.85,93,0,63.69,8.02,6.68,0.64,4,5.95,1,1,5,2,,F,4
1.23,60,5,55.29,7.27,,3.17,6,5.23,5,,2,4,8.69,female,
1.97,94,1,49.41,6.11,5.69,3.01,9,7.77,high,0.47,1,,2.82,Female,4
1.28, 67.6 %,5,81.55,8.69,,4.28,7,7.2,medium,3.08,2,4,3.38,F,
6.73, 86.1 %,2,45.59,9.52,7.64,3.55,8,5.03,1,4.55,3,3,6.95,M,4
3.83, 66.0 %,6,96.27,6.18,3.69,4.46,8,7.97,Low,1.71,4,2,7.95,Male,4.1
5.58,95.3%,2,89.6,5.88,6.83,4.49,2,8.41,4,3.43,1,3,3.55,F,5.14
9.17, 56.3 %,8,91.45,8.48,7.45,2.34,7,4.3,3,3.21,5,2,4.24,Male,7.06
3.24,59,2,94.4,9.88,4.44,1.12,3,7.86,Low,3.73,1,2,7.66,female,4.63
4.69,74.7%,6,64.52,8.75,6.1,3.34,7,,HIGH,1.29,1,5,3.57,female,4.74
7.8,54.1%,3,90.8,6.42,3.64,4.43,2,8.96,low,3.74,2,1,7,Female,5.24
3.06,59.8%,7,49.48,7.1,2.11,0.84,1,5.19,high,2.55,3,,2.43,female,4.3
1.69,97,1,41.3,,5.11,3.01,9,5.86,4,2,2,1,4.7,Female,
3.61,99,7,87.09,9.26,2.38,,10,8.83,low,4.1,3,1,7.2,Female,5.03
2.45,69,8,44.49,8.86,4.2,0.62,10,4.47,medium,1.04,4,5,5.14,female,4.39
9.37,96.2%,7,99.31,7.94,7.11,3.56,1,6.62,high,6.3,2,4,1.17,Female,6.32
8.27,77.2%,5,80.49,6.37,1.6,3.57,1,6.53,5,6.54,4,5,4.66,Female,4.93
6.7, 63.5 %,9,85.21,9.69,1.21,3.2,3,7.03,HIGH,4.62,3,3,3.6,Male,6.39
8.84,,0,54.75,8.27,5.25,4.37,1,5.65,4,2.12,1,3,1.91,female,4.87
8.23,83,6,80.43,9.85,,0.86,7,8.63,medium,4.38,4,3,1.08,,
,99.5%,0,42.59,,3.93,0.97,7,5.35,medium,4.21,4,3,1.41,Female,
9.03, 63.3 %,6,90.27,9.11,,4.39,8,7.25,2,2.74,3,1,9.54,F,
5.85,84,1,50.18,9.07,1.61,2.76,2,6.48,1,2.01,3,1,7.75,female,4.24
8.27,53,7,81.84,,1.02,1.73,7,5.33,3,1.18,2,5,9.46,Female,
9.06, 55.7 %,1,53.47,9.82,7.29,3.82,9,4.94,medium,1.52,2,2,2.03,Female,5.48
3.86,50,2,44.11,5.11,2.52,4.52,10,8.78,HIGH,4.57,3,2,6.13,F,4
1.99,100.0%,2,68.89,8.84,3.98,3.6,5,6.81,low,6.2,4,1,,F,4
3.05,90,0,50.16,9.83,7.8,,10,7.02,4,2.69,5,4,,Male,4
4.84,89.3%,4,83.77,6.69,6.79,1.77,3,7.91,4,0.85,2,,5.2,F,4
8.36,75.5%,4,54.25,8.24,1.76,1.8,9,4.41,HIGH,0.09,3,4,6.82,male,4.68
8.75, 65.0 %,9,60.55,7.81,4.56,4.39,1,7.57,Low,2.84,5,2,1.57,Male,5.22
1.06, 57.6 %,4,74.05,8.81,6.11,3.27,3,4.83,2,1.63,5,1,4.29,M,4.43
5.6, 64.2 %,8,57.1,9.33,5.89,1.55,2,7.7,HIGH,2.26,5,5,1.81,male,4
4.76,69,5,62.68,8.02,6.33,2.86,2,4.71,low,1.69,5,3,4.26,Male,4
3, 87.8 %,5,88.94,9.08,4.2,,3,8.16,high,4.65,1,2,5.25,male,4
2.08, 77.0 %,2,50.75,6.56,2.23,1.48,10,7.41,5,4.47,2,1,4.04,M,4
4.04,54,4,44.93,6.14,4.25,3.45,7,5.93,5,6.39,5,1,6.19,Female,4.37
9.49, 50.9 %,9,59.7,7.15,5.54,0.69,6,5.79,,4.9,5,3,6.26,female,
3.91,55,6,65.46,8.39,5.26,1.87,9,4.74,1,1.15,3,2,,Male,4.11
,71,2,72.56,5.94,1.49,3.53,10,8.52,Low,5.26,3,5,4.51,male,
7.33,96.7%,1,62.35,8.4,,1.17,10,4.59,,1.27,1,5,4.97,male,
4.27,81.9%,4,87.39,6.97,7.76,1.5,3,6.36,1,3.91,5,5,4.38,M,4.66
9.75, 90.1 %,2,42.36,8.98,2.06,4.46,5,5.18,low,0.54,1,2,7.85,M,4.2
9.66,,4,65.91,5.18,3.06,3.53,9,8.98,HIGH,0.33,3,,2.26,Male,5.32
3.27,68.1%,8,62.94,8.34,6.37,2.75,3,6.93,Low,3.25,2,4,8.71,M,4.75
5.48,55.4%,10,78.85,8.25,3.87,1.45,8,,Low,0.73,4,1,3.98,female,5.75
,93.8%,9,,9.7,2.27,2.04,9,7.34,1,2.15,4,4,7.52,Male,
3.56,89.2%,0,70.62,8.57,4.27,,,8.96,,2.37,,2,8.95,Female,
1.33, 58.4 %,3,99.21,8.98,4.98,1.2,6,,high,5.39,3,5,8.99,female,4.86
6.49,75.6%,9,58.13,9.52,4.17,2.67,6,6.29,low,2.33,4,5,5.07,Male,5.1
5.52, 74.4 %,4,41.85,8.38,7.43,2.34,6,5.47,3,3.46,5,5,3.31,,4
1.46,81,1,49.94,6.45,2.99,2.65,5,4.46,1,5.41,2,3,6.45,Male,4
3.51, 97.3 %,1,63.71,9.35,5.63,0.98,7,5.14,low,1.43,3,3,2.66,male,4
9.17,79.0%,0,58.98,8.74,1.79,0.98,7,6.77,,5.63,1,5,8.12,F,
3.16,77,7,45.82,7.12,3.75,4.84,7,7.77,medium,5.82,3,1,7.4,Male,4
2.3,53,1,,8.55,6.19,4.91,3,8.39,2,6.92,2,3,8.16,male,
5.41, 53.1 %,2,60.29,9.34,2.57,2.42,6,7.97,4,3.11,3,2,4.9,F,4.98
,59,1,,9.88,5.13,4.05,9,4.63,3,2.59,1,5,6.02,F,
3.18, 51.6 %,3,57.77,9.76,2.07,3.45,9,7.87,4,4.91,5,1,1.92,Male,4.47
7.05,87,0,93.19,6.63,1.72,1.03,,6.91,4,0.41,3,3,7.19,female,4.43
7.85, 86.2 %,2,58.12,7.11,4.66,1.84,9,,HIGH,0.28,1,2,5.38,F,4
3.14,56.8%,4,82.84,5.55,5.73,1.91,2,6.86,1,2.34,5,,5.58,male,4.13
7.55, 91.8 %,9,76.72,6.24,1.79,3.18,8,4.04,Low,5.11,4,2,8.62,F,5.2
14.8972497852678, 57.7 %,0,65.63,9.41,,3.11,2,2.67044228664882,low,0.82,,5,7.95,female,
6.69,65.1%,3,54.34,6.8,2.58,4.66,5,6.63,medium,4.45,5,1,5.82,M,4.66
6.7, 62.4 %,5,62.14,8.1,1.84,4.06,6,,medium,1.89,4,4,4.2,,4.36
5.82, 68.6 %,3,75.53,8.33,2.42,4.36,2,6.73,Low,4.56,3,3,5.02,,4.84
1.81,63,6,61.05,8.91,,4.51,9,5.77,2,3.2,3,1,4.16,male,
8.52, 74.4 %,6,52.89,5.91,,4.11,6,8.54,,0.81,2,4,2.36,,
3.89,70,5,46.99,6.52,6.58,2,8,8.75,HIGH,1.73,3,5,6.81,Female,4
2.68,99.3%,8,92.79,7.24,4.47,1.47,4,,3,1.54,3,2,7.22,male,5.41
1.37,53,1,66.42,6.82,3.72,3.07,3,,3,1.15,5,5,9.74,female,4
6.32,57,9,77.51,9.91,7.65,3.6,4,8.93,2,3.28,1,1,5.1,Female,5.25
7.1,52.6%,7,69.42,9.17,3.6,2.24,1,7.53,1,6.68,2,1,9.98,Male,5.53
1.15,81,7,92.35,7.4,2.17,4.32,1,8.8,HIGH,4.61,3,3,2.68,male,4
5.61,52.7%,10,72.82,9.4,2.92,4.82,8,7.21,1,5.85,5,4,6.91,Male,5.27
3.04, 91.8 %,9,68.85,6.74,2.67,3.06,1,8.05,5,6.87,5,4,9.95,M,4
6.81, 75.6 %,10,95.48,8.93,4.49,2.55,5,4.66,4,3.78,1,3,6.76,Male,5.66
,76,3,83.18,6.12,3.04,4.29,10,7.41,HIGH,1.67,4,5,5.07,male,
7.22, 78.1 %,,46.69,8.86,4.61,0.61,9,8.66,low,6.49,3,4,5.64,Male,
4.48,58.5%,10,50.66,7.28,5.69,1.08,3,6.7,2,4.89,4,,8.61,male,4.15
9.43, 59.9 %,5,87.23,5.54,6.44,4.31,10,,high,6.71,1,2,9.45,male,5.42
2.24,65.9%,4,,6.37,5.97,3.79,2,6.63,4,4.56,,1,5.09,Female,
4.07, 79.7 %,0,72.71,7.01,2.44,2.37,5,7.53,Low,5.43,4,2,7.95,female,4
2.02,,2,73.27,8.75,1.81,4.5,2,7.85,medium,6.23,1,3,9.4,Male,4
9.32, 55.8 %,6,77.92,5.36,4.8,2.08,10,6.62,,5.31,4,4,3.54,Male,
8.9, 98.5 %,7,66.35,8.3,2.39,3.35,1,5.09,medium,3.94,5,2,5.44,female,5.36
3.32, 51.1 %,1,80.81,8.58,1.59,3.35,,8.63,Low,3.3,3,1,9.96,F,4
6.94,90.1%,2,46.51,8.27,4.69,1.33,10,7.87,,5.76,2,4,4.18,Male,
8.35,89.4%,3,97.68,8.8,3.29,1.78,9,5.35,3,5.4,5,5,6.58,F,5.69
6,65,10,85.01,5.89,6.29,4.62,1,8.06,medium,2.57,,4,,Female,4.61
5.77,56.8%,4,77.87,7.94,3.2,1.33,4,5.74,Low,3.49,3,1,2.39,F,5.23
3.18, 57.3 %,2,58.98,9.71,7.85,1.28,5,5.56,2,4.44,2,,8.26,M,4
1.84, 84.9 %,4,49.66,8.05,6.31,2.66,2,8.32,Low,0.2,1,2,4.72,female,4
9.07,82.1%,7,64.56,8.06,1.4,0.91,9,8.37,HIGH,1.73,3,3,5.5,female,5.42
9.1, 89.1 %,7,79.69,8.68,4.56,4.53,,5.99,2,1.75,5,2,6.79,F,5.99
6.7,97,1,78.02,6.67,4.94,0.95,9,4.04,5,6.18,4,4,4.69,M,4
4.05,85,5,62.96,8.5,5.87,3.27,8,4.93,4,2.32,2,5,3.93,female,4
4.14,57.8%,3,76.8,9.58,4.48,2.03,6,8.55,HIGH,3.82,3,4,5.92,F,4.45
7.53,62.2%,8,88.82,5.05,4.38,4.12,1,8.49,5,5.82,2,1,4.12,,4.98
9.07,92,,41.58,9.35,,3.15,10,6.27,,1.82,2,2,4.91,male,
8.98,60,1,67.04,6.09,,,5,5.52,3,0.87,3,2,1.98,,
8.02,53.6%,7,85.51,7.28,7.62,4.93,8,5.51,5,6.64,4,4,8.6,male,5.23
6.78,85.2%,0,72.77,,3.22,0.8,4,8.49,5,4.93,1,3,4.71,Male,
1.76,70.1%,,79.09,9.12,1.44,3.1,8,5.62,,1.24,3,,1.75,male,
2.45, 96.0 %,5,71,9.46,2.17,4.95,6,6.56,low,5.74,1,3,,F,4
9.09,82.5%,10,99.51,9.7,7,3.61,1,7.66,5,5.51,2,4,1.18,male,7.27
6.46,54.5%,10,43.28,7.24,5.11,3.83,1,5.05,medium,5.86,2,2,6.39,Female,4.41
1.08, 97.4 %,9,69.46,8.28,6.45,0.64,3,5.27,2,1.93,4,3,7.32,Male,4
1.91,63,0,45.48,6.95,6.66,0.6,1,5.79,medium,3.14,3,1,2.72,Female,4
6.97,66.9%,1,49.59,6.75,6.76,0.66,4,7.27,4,4.86,3,3,2.18,Male,4
1.05, 70.1 %,2,62.98,7.16,4.85,4.96,3,8.09,1,2.73,5,5,2.02,male,4
2.45,52.6%,8,49.33,8.72,2.24,4.91,7,6.73,1,0.49,4,1,9.94,female,4
5.94,74.8%,4,97.82,7.51,2.04,2.01,9,4.66,3,0.96,3,4,7.8,female,5.3
7.23, 56.2 %,9,96.81,9.07,5.02,1.81,7,6.23,4,4.18,2,5,3.81,F,6.65
6.87,70,9,60.17,8.73,3.57,1.16,5,4.64,3,2.63,4,1,,female,4.52
3.02, 67.5 %,1,78.38,5.1,4.91,1.98,,4.44,Low,0.04,5,4,6.84,Female,4
7.41,88.6%,9,72.03,8.15,4.49,2.17,5,6.95,Low,5.37,5,3,5.12,F,5.33
3.14,90,4,88.94,7.18,5.22,3.87,1,8.78,low,2.92,2,4,3.44,M,4.19
3.93, 57.7 %,,77.65,7.28,1.22,4.4,6,8.19,2,2.2,3,2,1.51,Female,
7.72, 68.3 %,0,,9.09,1.23,3.86,8,7.87,1,4.99,2,1,8.05,Female,
6.85,69,2,85.79,7.74,6.05,3.41,7,7.64,2,3.19,5,3,8.99,M,4.9
8.64,57.6%,4,84.81,9.43,2.35,3.95,1,8.49,medium,4.86,4,4,2.85,F,6.26
, 89.9 %,8,70.58,8.56,5.57,3.82,8,7.76,4,0.09,3,3,1.57,Male,
6.11, 85.4 %,9,94.18,7.76,4.83,2.64,9,7.13,3,0.07,2,3,2.07,female,4.95
1.84, 59.5 %,0,94.51,8.77,7.87,2.01,10,5.82,medium,3.92,3,1,4.73,Male,4
4.31,68.3%,7,71.43,5.19,6.85,1.77,2,4.5,Low,6.88,4,3,3.69,M,4
3.39, 55.3 %,,76.48,5.14,3.89,3.56,1,6.31,high,1.91,5,1,1.66,male,
3.2,81,8,99.79,5.42,5.31,4.82,6,8.62,5,4.78,2,3,5.09,Female,4
9.76,56,5,,7.19,1.82,3.11,,6.92,3,1.21,5,3,2.84,female,
4.54, 99.3 %,0,59.48,6.18,3.7,4.61,7,4.92,3,2.18,2,4,1.6,Male,4
9.03, 89.0 %,7,50.97,9.92,,0.56,3,7.25,1,0.55,3,5,6.92,F,
6.68,70,4,93.75,7.71,5.36,4.08,3,6.33,HIGH,6.17,1,1,6.15,Male,4.6
8.15,79,6,84.67,8.31,4.39,4.34,8,,2,2.17,,2,8.44,female,6.43
5.52, 95.6 %,6,46.34,6.39,2.24,3.34,7,,high,1.61,2,1,3.72,Female,4
6.19,78,6,98.91,6.61,6.62,4.7,5,7.56,1,5.11,5,3,2.22,male,4.19
5.43,58.7%,5,83.86,6.68,2.91,3.15,3,7.41,5,1.4,1,5,,Male,4.12
2.76,,10,91.03,8.49,6.74,1.58,1,8.92,1,1.68,1,1,8.01,female,5.85
7.5,92.2%,7,42.89,7.37,5.28,1.47,3,6.82,1,0.73,1,3,3.18,Male,4
3.53,82.2%,8,70.3,7.59,3.61,3,9,8.36,1,6.74,1,2,3.3,F,4.57
1.22,83,1,81.92,7.96,1.28,4.58,1,4.12,2,1.73,4,4,2.33,Female,4
,93.3%,6,72.58,8.84,2.63,0.83,5,4.61,,6.97,3,,9.88,Female,
2.59, 94.7 %,1,80,5.45,,3.22,4,,1,1.23,2,1,9.71,male,
9.46, 96.0 %,5,89.07,8.88,6.73,3.96,6,7.1,1,0.14,3,1,6.92,F,5.74
9.59,54.7%,1,62.46,7.82,5.02,1.02,2,6.25,1,6.27,3,,2.93,female,5.23
9.23, 77.2 %,9,90.92,8.35,4.26,1.03,4,5.01,,4.06,3,4,7.9,female,
4.33,87.0%,5,49.77,6.64,5.53,2.15,9,6.95,3,2.46,3,3,6.26,M,4
1.14,87.8%,1,56.25,7.05,4.26,1.73,5,6.83,high,3.59,4,1,7.75,F,4
9.35,80.3%,0,42.6,6.16,5.51,1.39,8,,medium,,5,5,8.74,F,4.15
, 58.3 %,6,61.87,9.9,3.15,,2,4.45,medium,4.44,4,4,3.87,female,
9.7, 89.9 %,2,62.79,7.49,6.87,1.09,9,8.64,medium,4.32,2,3,9.22,female,4.71
9.67,86.0%,3,88.32,9.98,5.91,3.25,,6.96,5,0.56,1,4,9.09,Male,5.44
8.68,54.3%,5,79.19,7.45,3.31,3.6,7,5.32,HIGH,,5,,5.92,male,5.11
3.65,,4,66.2,6.1,6.81,3.66,2,7.44,low,3.22,2,5,7.16,M,4
4.47,58.7%,,79.13,7.54,4.41,2.9,8,5.59,Low,1.37,1,3,4.7,F,
8.66,67,8,43.17,5.2,2.22,4.79,9,6.53,low,2.15,4,3,6.9,female,4.86
3.85,50.9%,5,50.82,9.52,1.54,4.46,10,5.71,,6.06,3,1,5.94,Male,
2.53, 70.0 %,5,77.62,9.09,5.9,4.81,5,8.4,3,2.68,,2,3.91,M,4.35
6.01,77.5%,1,78.48,8.63,7.06,2.25,3,8.97,HIGH,3.93,3,2,3.91,male,4.98
9.43,81,5,86.45,8.05,6.65,4.45,3,4.81,,6.63,3,3,6.86,male,
, 83.2 %,6,64.18,7.9,5.59,3.93,6,4.12,5,4.56,3,4,9.61,male,
6.13,92,7,83.35,9.98,,2.03,1,5.1,HIGH,4.73,5,3,2.81,M,
1.87,60.8%,7,81.04,6.39,1.66,0.98,10,6.95,2,1.74,1,3,4.53,Female,4
6.54, 56.0 %,8,97.8,,3.42,3.57,,4.87,5,4.68,3,3,8.25,M,
9.91,92.6%,9,52.91,7.91,6.98,1.11,6,8.06,high,,2,3,2.11,male,5.43
2.26, 57.8 %,10,73.1,9.88,7.73,1.82,9,,Low,6.38,5,,,Male,4.69
5.66, 98.7 %,2,76.11,9.14,2.69,2.75,3,7.05,2,,1,3,7.1,M,5.22
8.9, 92.1 %,9,99.92,9.99,6.33,,10,6.28,4,2,2,4,9.2,Male,6.28
7.67,75,6,52.07,7.94,5.02,4.67,3,8.52,1,0.46,5,5,8.54,Female,5.19
7.27,99.1%,6,71.39,6.02,,3.17,10,4.18,HIGH,2.67,5,5,7.99,male,
7.32,55,0,60.77,7.52,4.8,,7,7.65,high,1.04,1,1,1.3,male,4.25
4.24,65,,71.55,8.56,6.64,1.9,7,7.26,,5.92,3,5,,Male,
3.64,81.9%,3,53.93,8.87,2.93,3.59,4,7.25,Low,6.48,2,4,2.82,Female,4.22
8.28,67.5%,4,42.86,5,7.28,2.47,8,6.07,4,4.69,4,,8.84,male,4
8.29,96.4%,5,74.35,7.53,2.65,,2,4.08,5,0.72,3,2,7.12,M,5.01
